word,valence,arousal,dominance,Publication,Political Compass/Theme
fire,0.4953271027801554,0.8336192110777929,0.1747572815703648,The Mirror,Left-Wing
new,0.7692757009705269,0.4939965695275811,0.5825242719012159,The Mirror,Left-Wing
document,0.457943925301773,0.3087478559547381,0.6213592232642096,The Mirror,Left-Wing
suggest,0.5821880153543078,0.5866209263140025,0.4854368932024695,The Mirror,Left-Wing
special,0.795560747700727,0.6483704975049501,0.7694174757543123,The Mirror,Left-Wing
force,0.4392523364223949,0.7821612349824207,0.4854368932024695,The Mirror,Left-Wing
junior,0.6355140186745567,0.3087478559547381,0.417475728098784,The Mirror,Left-Wing
doctor,0.457943925301773,0.5840480274629217,0.4563106796074087,The Mirror,Left-Wing
pay,0.5794392523167962,0.7615780446368962,0.5922330096691487,The Mirror,Left-Wing
see,0.682242990732815,0.4219554030866842,0.6116504854962768,The Pink Panther,Film & Animation
star,0.8598130841055986,0.3428387649982825,0.6783980582697473,The Pink Panther,Film & Animation
show,0.786799065457327,0.5454545454685794,0.6504854368592704,The Pink Panther,Film & Animation
band,0.7196261682111974,0.5351629502186303,0.6237864077790083,The Pink Panther,Film & Animation
practice,0.7342289719969265,0.4219554030866842,0.7961165048345744,The Pink Panther,Film & Animation
game,0.794392523448336,0.7307032590414223,0.8349514563431991,The Pink Panther,Film & Animation
show,0.786799065457327,0.5454545454685794,0.6504854368592704,The Pink Panther,Film & Animation
black,0.5327102803987247,0.5763293310640533,0.6019417475827127,The Pink Panther,Film & Animation
white,0.5482866043714152,0.3524871354968681,0.6510922330243778,The Pink Panther,Film & Animation
seek,0.6203271028327255,0.5042881646231564,0.5825242719012159,The Pink Panther,Film & Animation
shelter,0.6074766354956764,0.2463550600124269,0.563106796074088,The Pink Panther,Film & Animation
show,0.786799065457327,0.5454545454685794,0.6504854368592704,The Pink Panther,Film & Animation
play,0.8411214953664075,0.7821612349824207,0.8349514563431991,The Pink Panther,Film & Animation
music,0.8691588785452877,0.5763293310640533,0.7475728155580167,The Pink Panther,Film & Animation
bowl,0.5981308411961743,0.3602058318957365,0.563106796074088,The Pink Panther,Film & Animation
strike,0.3738317757651323,0.6380789022550009,0.5825242719012159,The Pink Panther,Film & Animation
feed,0.775700934568958,0.4631217839321072,0.5236650485459868,The Pink Panther,Film & Animation
elephant,0.8037383177478382,0.452830188682158,0.6310679611777735,The Pink Panther,Film & Animation
show,0.786799065457327,0.5454545454685794,0.6504854368592704,The Pink Panther,Film & Animation
go,0.7476635513900777,0.5969125214095777,0.8446601942567631,The Pink Panther,Film & Animation
jungle,0.6553738318063258,0.5351629502186303,0.563106796074088,The Pink Panther,Film & Animation
show,0.786799065457327,0.5454545454685794,0.6504854368592704,The Pink Panther,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
pig,0.5140186916595335,0.4489708404827237,0.4660194175209728,Percy The Pig,Film & Animation
get,0.6261682243750546,0.5068610634742372,0.8058252427481383,Percy The Pig,Film & Animation
new,0.7692757009705269,0.4939965695275811,0.5825242719012159,Percy The Pig,Film & Animation
friendly,0.8878504672844789,0.5763293310640533,0.7421116505089428,Percy The Pig,Film & Animation
electric,0.6448598131142457,0.7089092926751691,0.4466019416938448,Percy The Pig,Film & Animation
car,0.5327102803987247,0.4837049742776318,0.572815533987652,Percy The Pig,Film & Animation
pig,0.5140186916595335,0.4489708404827237,0.4660194175209728,Percy The Pig,Film & Animation
official,0.6261682243750546,0.5454545454685794,0.4599514563067914,Percy The Pig,Film & Animation
family,0.8224299066272163,0.3093532438107285,0.4854368932024695,Percy The Pig,Film & Animation
kid,0.7289719626508865,0.4219554030866842,0.563106796074088,Percy The Pig,Film & Animation
